method,H,W,Cin,Cout,K,threads,repeats,time_ms,total_time_ms,checksum,input_file,kernel_file
openmp,64,64,16,8,3,1,5,2.484342,12.421712,-32.532773,input.csv,kernel.csv
openmp,64,64,16,8,3,2,5,1.269480,6.347398,-32.532773,input.csv,kernel.csv
openmp,64,64,16,8,3,4,5,0.633790,3.168950,-32.532773,input.csv,kernel.csv
openmp,64,64,16,8,3,8,5,0.317014,1.585069,-32.532773,input.csv,kernel.csv
openmp,64,64,16,8,3,16,5,0.302528,1.512642,-32.532773,input.csv,kernel.csv
openmp,64,64,16,8,3,20,5,0.242925,1.214625,-32.532773,input.csv,kernel.csv
openmp,128,128,16,8,3,1,5,10.084597,50.422984,3389.418271,input.csv,kernel.csv
openmp,128,128,16,8,3,2,5,5.086466,25.432332,3389.418271,input.csv,kernel.csv
openmp,128,128,16,8,3,4,5,2.546083,12.730414,3389.418271,input.csv,kernel.csv
openmp,128,128,16,8,3,8,5,1.242171,6.210855,3389.418271,input.csv,kernel.csv
openmp,128,128,16,8,3,16,5,1.203227,6.016136,3389.418271,input.csv,kernel.csv
openmp,128,128,16,8,3,20,5,0.961014,4.805072,3389.418271,input.csv,kernel.csv
openmp,256,256,16,8,3,1,5,40.693632,203.468160,21875.510975,input.csv,kernel.csv
openmp,256,256,16,8,3,2,5,20.457474,102.287369,21875.510975,input.csv,kernel.csv
openmp,256,256,16,8,3,4,5,10.231587,51.157933,21875.510975,input.csv,kernel.csv
openmp,256,256,16,8,3,8,5,4.986969,24.934847,21875.510975,input.csv,kernel.csv
openmp,256,256,16,8,3,16,5,4.796286,23.981431,21875.510975,input.csv,kernel.csv
openmp,256,256,16,8,3,20,5,3.899624,19.498121,21875.510975,input.csv,kernel.csv
openmp,512,512,16,8,3,1,5,162.831044,814.155222,43439.161861,input.csv,kernel.csv
openmp,512,512,16,8,3,2,5,81.502909,407.514543,43439.161861,input.csv,kernel.csv
openmp,512,512,16,8,3,4,5,40.825187,204.125934,43439.161861,input.csv,kernel.csv
openmp,512,512,16,8,3,8,5,19.837457,99.187284,43439.161861,input.csv,kernel.csv
openmp,512,512,16,8,3,16,5,19.158312,95.791558,43439.161861,input.csv,kernel.csv
openmp,512,512,16,8,3,20,5,15.659526,78.297628,43439.161861,input.csv,kernel.csv
